iso_code,location,date,new_cases,new_cases_smoothed,total_cases,new_cases_per_million,total_cases_per_million,new_cases_smoothed_per_million,new_deaths,new_deaths_smoothed,total_deaths,new_deaths_per_million,total_deaths_per_million,new_deaths_smoothed_per_million
BRA,Brazil,2022-08-03,118.0,106.29,1721.0,0.551,8.03,0.496,0.0,0.14,1.0,0.0,0.005,0.001
BRA,Brazil,2022-08-04,139.0,113.43,1860.0,0.649,8.678,0.529,0.0,0.0,1.0,0.0,0.005,0.0
BRA,Brazil,2022-08-05,144.0,106.43,2004.0,0.672,9.35,0.497,0.0,0.0,1.0,0.0,0.005,0.0
BRA,Brazil,2022-08-06,104.0,109.29,2108.0,0.485,9.835,0.51,0.0,0.0,1.0,0.0,0.005,0.0
BRA,Brazil,2022-08-07,23.0,108.71,2131.0,0.107,9.943,0.507,0.0,0.0,1.0,0.0,0.005,0.0
BRA,Brazil,2022-08-08,162.0,116.86,2293.0,0.756,10.699,0.545,0.0,0.0,1.0,0.0,0.005,0.0
BRA,Brazil,2022-08-09,122.0,116.0,2415.0,0.569,11.268,0.541,0.0,0.0,1.0,0.0,0.005,0.0
BRA,Brazil,2022-08-10,43.0,105.29,2458.0,0.201,11.468,0.491,0.0,0.0,1.0,0.0,0.005,0.0
BRA,Brazil,2022-08-11,0.0,85.43,2458.0,0.0,11.468,0.399,0.0,0.0,1.0,0.0,0.005,0.0
BRA,Brazil,2022-08-12,288.0,106.0,2746.0,1.344,12.812,0.495,0.0,0.0,1.0,0.0,0.005,0.0
BRA,Brazil,2022-08-13,102.0,105.71,2848.0,0.476,13.288,0.493,0.0,0.0,1.0,0.0,0.005,0.0
BRA,Brazil,2022-08-14,45.0,108.86,2893.0,0.21,13.498,0.508,0.0,0.0,1.0,0.0,0.005,0.0
BRA,Brazil,2022-08-15,92.0,98.86,2985.0,0.429,13.927,0.461,0.0,0.0,1.0,0.0,0.005,0.0
BRA,Brazil,2022-08-16,198.0,109.71,3183.0,0.924,14.851,0.512,0.0,0.0,1.0,0.0,0.005,0.0
BRA,Brazil,2022-08-17,176.0,128.71,3359.0,0.821,15.672,0.601,0.0,0.0,1.0,0.0,0.005,0.0
BRA,Brazil,2022-08-18,91.0,141.71,3450.0,0.425,16.097,0.661,0.0,0.0,1.0,0.0,0.005,0.0
BRA,Brazil,2022-08-19,205.0,129.86,3655.0,0.956,17.053,0.606,0.0,0.0,1.0,0.0,0.005,0.0
BRA,Brazil,2022-08-20,100.0,129.57,3755.0,0.467,17.52,0.605,0.0,0.0,1.0,0.0,0.005,0.0
BRA,Brazil,2022-08-21,32.0,127.71,3787.0,0.149,17.669,0.596,0.0,0.0,1.0,0.0,0.005,0.0
BRA,Brazil,2022-08-22,109.0,130.14,3896.0,0.509,18.178,0.607,0.0,0.0,1.0,0.0,0.005,0.0
BRA,Brazil,2022-08-23,88.0,114.43,3984.0,0.411,18.588,0.534,0.0,0.0,1.0,0.0,0.005,0.0
BRA,Brazil,2022-08-24,160.0,112.14,4144.0,0.747,19.335,0.523,0.0,0.0,1.0,0.0,0.005,0.0
BRA,Brazil,2022-08-25,72.0,109.43,4216.0,0.336,19.671,0.511,0.0,0.0,1.0,0.0,0.005,0.0
BRA,Brazil,2022-08-26,256.0,116.71,4472.0,1.194,20.865,0.545,0.0,0.0,1.0,0.0,0.005,0.0
BRA,Brazil,2022-08-27,0.0,102.43,4472.0,0.0,20.865,0.478,0.0,0.0,1.0,0.0,0.005,0.0
BRA,Brazil,2022-08-28,0.0,97.86,4472.0,0.0,20.865,0.457,0.0,0.0,1.0,0.0,0.005,0.0
BRA,Brazil,2022-08-29,220.0,113.71,4692.0,1.026,21.892,0.531,1.0,0.14,2.0,0.005,0.009,0.001
GHA,Ghana,2022-08-01,0.0,0.14,35.0,0.0,1.066,0.004,0.0,0.14,1.0,0.0,0.03,0.004
GHA,Ghana,2022-08-02,0.0,0.14,35.0,0.0,1.066,0.004,0.0,0.0,1.0,0.0,0.03,0.0
GHA,Ghana,2022-08-03,0.0,0.14,35.0,0.0,1.066,0.004,0.0,0.0,1.0,0.0,0.03,0.0
GHA,Ghana,2022-08-04,0.0,0.0,35.0,0.0,1.066,0.0,0.0,0.0,1.0,0.0,0.03,0.0
GHA,Ghana,2022-08-05,0.0,0.0,35.0,0.0,1.066,0.0,0.0,0.0,1.0,0.0,0.03,0.0
GHA,Ghana,2022-08-06,0.0,0.0,35.0,0.0,1.066,0.0,0.0,0.0,1.0,0.0,0.03,0.0
GHA,Ghana,2022-08-07,0.0,0.0,35.0,0.0,1.066,0.0,0.0,0.0,1.0,0.0,0.03,0.0
GHA,Ghana,2022-08-08,0.0,0.0,35.0,0.0,1.066,0.0,0.0,0.0,1.0,0.0,0.03,0.0
GHA,Ghana,2022-08-09,0.0,0.0,35.0,0.0,1.066,0.0,0.0,0.0,1.0,0.0,0.03,0.0
GHA,Ghana,2022-08-10,12.0,1.71,47.0,0.365,1.431,0.052,0.0,0.0,1.0,0.0,0.03,0.0
GHA,Ghana,2022-08-11,0.0,1.71,47.0,0.0,1.431,0.052,0.0,0.0,1.0,0.0,0.03,0.0
GHA,Ghana,2022-08-12,0.0,1.71,47.0,0.0,1.431,0.052,0.0,0.0,1.0,0.0,0.03,0.0
GHA,Ghana,2022-08-13,0.0,1.71,47.0,0.0,1.431,0.052,0.0,0.0,1.0,0.0,0.03,0.0
GHA,Ghana,2022-08-14,0.0,1.71,47.0,0.0,1.431,0.052,0.0,0.0,1.0,0.0,0.03,0.0
GHA,Ghana,2022-08-15,0.0,1.71,47.0,0.0,1.431,0.052,0.0,0.0,1.0,0.0,0.03,0.0
GHA,Ghana,2022-08-16,0.0,1.71,47.0,0.0,1.431,0.052,0.0,0.0,1.0,0.0,0.03,0.0
GHA,Ghana,2022-08-17,0.0,0.0,47.0,0.0,1.431,0.0,0.0,0.0,1.0,0.0,0.03,0.0
GHA,Ghana,2022-08-18,0.0,0.0,47.0,0.0,1.431,0.0,0.0,0.0,1.0,0.0,0.03,0.0
GHA,Ghana,2022-08-19,0.0,0.0,47.0,0.0,1.431,0.0,0.0,0.0,1.0,0.0,0.03,0.0
GHA,Ghana,2022-08-20,0.0,0.0,47.0,0.0,1.431,0.0,0.0,0.0,1.0,0.0,0.03,0.0
GHA,Ghana,2022-08-21,0.0,0.0,47.0,0.0,1.431,0.0,0.0,0.0,1.0,0.0,0.03,0.0
GHA,Ghana,2022-08-22,0.0,0.0,47.0,0.0,1.431,0.0,0.0,0.0,1.0,0.0,0.03,0.0
GHA,Ghana,2022-08-23,0.0,0.0,47.0,0.0,1.431,0.0,2.0,0.29,3.0,0.061,0.091,0.009
GHA,Ghana,2022-08-24,0.0,0.0,47.0,0.0,1.431,0.0,0.0,0.29,3.0,0.0,0.091,0.009
GHA,Ghana,2022-08-25,0.0,0.0,47.0,0.0,1.431,0.0,0.0,0.29,3.0,0.0,0.091,0.009
GHA,Ghana,2022-08-26,9.0,1.29,56.0,0.274,1.706,0.039,0.0,0.29,3.0,0.0,0.091,0.009
GHA,Ghana,2022-08-27,0.0,1.29,56.0,0.0,1.706,0.039,0.0,0.29,3.0,0.0,0.091,0.009
GHA,Ghana,2022-08-28,0.0,1.29,56.0,0.0,1.706,0.039,0.0,0.29,3.0,0.0,0.091,0.009
GHA,Ghana,2022-08-29,0.0,1.29,56.0,0.0,1.706,0.039,0.0,0.29,3.0,0.0,0.091,0.009
GHA,Ghana,2022-08-30,0.0,1.29,56.0,0.0,1.706,0.039,0.0,0.0,3.0,0.0,0.091,0.0
GHA,Ghana,2022-08-31,0.0,1.29,56.0,0.0,1.706,0.039,0.0,0.0,3.0,0.0,0.091,0.0
GHA,Ghana,2022-09-01,0.0,1.29,56.0,0.0,1.706,0.039,0.0,0.0,3.0,0.0,0.091,0.0
GHA,Ghana,2022-09-02,0.0,0.0,56.0,0.0,1.706,0.0,0.0,0.0,3.0,0.0,0.091,0.0
GHA,Ghana,2022-09-03,0.0,0.0,56.0,0.0,1.706,0.0,0.0,0.0,3.0,0.0,0.091,0.0
GHA,Ghana,2022-09-04,0.0,0.0,56.0,0.0,1.706,0.0,0.0,0.0,3.0,0.0,0.091,0.0
GHA,Ghana,2022-09-05,20.0,2.86,76.0,0.609,2.315,0.087,0.0,0.0,3.0,0.0,0.091,0.0
GHA,Ghana,2022-09-06,0.0,2.86,76.0,0.0,2.315,0.087,0.0,0.0,3.0,0.0,0.091,0.0
GHA,Ghana,2022-09-07,0.0,2.86,76.0,0.0,2.315,0.087,0.0,0.0,3.0,0.0,0.091,0.0
GHA,Ghana,2022-09-08,0.0,2.86,76.0,0.0,2.315,0.087,0.0,0.0,3.0,0.0,0.091,0.0
GHA,Ghana,2022-09-09,0.0,2.86,76.0,0.0,2.315,0.087,0.0,0.0,3.0,0.0,0.091,0.0
GHA,Ghana,2022-09-10,0.0,2.86,76.0,0.0,2.315,0.087,0.0,0.0,3.0,0.0,0.091,0.0
GHA,Ghana,2022-09-11,0.0,2.86,76.0,0.0,2.315,0.087,0.0,0.0,3.0,0.0,0.091,0.0
GHA,Ghana,2022-09-12,8.0,1.14,84.0,0.244,2.558,0.035,1.0,0.14,4.0,0.03,0.122,0.004
NGA,Nigeria,2022-06-04,0.0,0.86,6.0,0.0,0.028,0.004,0.0,0.14,1.0,0.0,0.005,0.001
NGA,Nigeria,2022-06-05,10.0,1.43,16.0,0.047,0.075,0.007,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-06-06,0.0,1.43,16.0,0.0,0.075,0.007,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-06-07,0.0,1.43,16.0,0.0,0.075,0.007,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-06-08,0.0,1.43,16.0,0.0,0.075,0.007,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-06-09,0.0,1.43,16.0,0.0,0.075,0.007,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-06-10,0.0,1.43,16.0,0.0,0.075,0.007,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-06-11,0.0,1.43,16.0,0.0,0.075,0.007,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-06-12,5.0,0.71,21.0,0.023,0.098,0.003,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-06-13,0.0,0.71,21.0,0.0,0.098,0.003,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-06-14,0.0,0.71,21.0,0.0,0.098,0.003,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-06-15,0.0,0.71,21.0,0.0,0.098,0.003,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-06-16,0.0,0.71,21.0,0.0,0.098,0.003,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-06-17,0.0,0.71,21.0,0.0,0.098,0.003,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-06-18,0.0,0.71,21.0,0.0,0.098,0.003,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-06-19,5.0,0.71,26.0,0.023,0.122,0.003,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-06-20,0.0,0.71,26.0,0.0,0.122,0.003,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-06-21,0.0,0.71,26.0,0.0,0.122,0.003,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-06-22,0.0,0.71,26.0,0.0,0.122,0.003,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-06-23,0.0,0.71,26.0,0.0,0.122,0.003,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-06-24,0.0,0.71,26.0,0.0,0.122,0.003,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-06-25,3.0,1.14,29.0,0.014,0.136,0.005,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-06-26,15.0,2.57,44.0,0.07,0.206,0.012,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-06-27,0.0,2.57,44.0,0.0,0.206,0.012,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-06-28,0.0,2.57,44.0,0.0,0.206,0.012,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-06-29,1.0,2.71,45.0,0.005,0.211,0.013,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-06-30,0.0,2.71,45.0,0.0,0.211,0.013,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-07-01,0.0,2.71,45.0,0.0,0.211,0.013,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-07-02,0.0,2.29,45.0,0.0,0.211,0.011,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-07-03,24.0,3.57,69.0,0.112,0.323,0.017,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-07-04,0.0,3.57,69.0,0.0,0.323,0.017,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-07-05,0.0,3.57,69.0,0.0,0.323,0.017,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-07-06,0.0,3.43,69.0,0.0,0.323,0.016,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-07-07,0.0,3.43,69.0,0.0,0.323,0.016,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-07-08,0.0,3.43,69.0,0.0,0.323,0.016,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-07-09,0.0,3.43,69.0,0.0,0.323,0.016,0.0,0.0,1.0,0.0,0.005,0.0
NGA,Nigeria,2022-07-10,17.0,2.43,86.0,0.08,0.403,0.011,2.0,0.29,3.0,0.009,0.014,0.001
NGA,Nigeria,2022-07-11,0.0,2.43,86.0,0.0,0.403,0.011,0.0,0.29,3.0,0.0,0.014,0.001
NGA,Nigeria,2022-07-12,0.0,2.43,86.0,0.0,0.403,0.011,0.0,0.29,3.0,0.0,0.014,0.001
NGA,Nigeria,2022-07-13,0.0,2.43,86.0,0.0,0.403,0.011,0.0,0.29,3.0,0.0,0.014,0.001
NGA,Nigeria,2022-07-14,0.0,2.43,86.0,0.0,0.403,0.011,0.0,0.29,3.0,0.0,0.014,0.001
NGA,Nigeria,2022-07-15,0.0,2.43,86.0,0.0,0.403,0.011,0.0,0.29,3.0,0.0,0.014,0.001
NGA,Nigeria,2022-07-16,0.0,2.43,86.0,0.0,0.403,0.011,0.0,0.29,3.0,0.0,0.014,0.001
NGA,Nigeria,2022-07-17,15.0,2.14,101.0,0.07,0.473,0.01,0.0,0.0,3.0,0.0,0.014,0.0
NGA,Nigeria,2022-07-18,0.0,2.14,101.0,0.0,0.473,0.01,0.0,0.0,3.0,0.0,0.014,0.0
NGA,Nigeria,2022-07-19,0.0,2.14,101.0,0.0,0.473,0.01,0.0,0.0,3.0,0.0,0.014,0.0
NGA,Nigeria,2022-07-20,0.0,2.14,101.0,0.0,0.473,0.01,0.0,0.0,3.0,0.0,0.014,0.0
NGA,Nigeria,2022-07-21,0.0,2.14,101.0,0.0,0.473,0.01,0.0,0.0,3.0,0.0,0.014,0.0
NGA,Nigeria,2022-07-22,0.0,2.14,101.0,0.0,0.473,0.01,0.0,0.0,3.0,0.0,0.014,0.0
NGA,Nigeria,2022-07-23,0.0,2.14,101.0,0.0,0.473,0.01,0.0,0.0,3.0,0.0,0.014,0.0
NGA,Nigeria,2022-07-24,15.0,2.14,116.0,0.07,0.544,0.01,0.0,0.0,3.0,0.0,0.014,0.0
NGA,Nigeria,2022-07-25,0.0,2.14,116.0,0.0,0.544,0.01,0.0,0.0,3.0,0.0,0.014,0.0
NGA,Nigeria,2022-07-26,0.0,2.14,116.0,0.0,0.544,0.01,0.0,0.0,3.0,0.0,0.014,0.0
NGA,Nigeria,2022-07-27,0.0,2.14,116.0,0.0,0.544,0.01,0.0,0.0,3.0,0.0,0.014,0.0
NGA,Nigeria,2022-07-28,2.0,2.43,118.0,0.009,0.553,0.011,0.0,0.0,3.0,0.0,0.014,0.0
NGA,Nigeria,2022-07-29,0.0,2.43,118.0,0.0,0.553,0.011,0.0,0.0,3.0,0.0,0.014,0.0
NGA,Nigeria,2022-07-30,0.0,2.43,118.0,0.0,0.553,0.011,0.0,0.0,3.0,0.0,0.014,0.0
NGA,Nigeria,2022-07-31,24.0,3.71,142.0,0.112,0.665,0.017,1.0,0.14,4.0,0.005,0.019,0.001
PER,Peru,2022-08-07,96.0,28.57,505.0,2.847,14.978,0.847,0.0,0.14,1.0,0.0,0.03,0.004
PER,Peru,2022-08-08,42.0,33.43,547.0,1.246,16.224,0.992,0.0,0.0,1.0,0.0,0.03,0.0
PER,Peru,2022-08-09,36.0,37.0,583.0,1.068,17.292,1.097,0.0,0.0,1.0,0.0,0.03,0.0
PER,Peru,2022-08-10,49.0,41.71,632.0,1.453,18.745,1.237,0.0,0.0,1.0,0.0,0.03,0.0
PER,Peru,2022-08-11,21.0,44.71,653.0,0.623,19.368,1.326,0.0,0.0,1.0,0.0,0.03,0.0
PER,Peru,2022-08-12,23.0,38.14,676.0,0.682,20.05,1.131,0.0,0.0,1.0,0.0,0.03,0.0
